Container_ID,Declaration_Date,Declaration_Time,Trade_Regime,Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Risk_Flag
10000056,2020-01-01,03:39:58,Import,BE,PORT_40,UG,851712,IMP349,EXP800,140289.49,7617.25,7613.439860869318,LINE_MODE_10,45.19,0
10000057,2020-01-01,07:24:00,Import,BE,PORT_40,UG,440890,IMP517,EXP751,425856.07,3392.58,3388.156453418272,LINE_MODE_40,21.38,0
10000058,2020-01-01,20:21:30,Import,BE,PORT_40,UG,440890,IMP523,EXP550,49813.58,1709.49,1707.5583731347967,LINE_MODE_40,11.44,0
10000059,2020-01-01,00:33:17,Import,BE,PORT_20,UG,690722,IMP578,EXP167,277020.58,5458.1,5461.738303631884,LINE_MODE_40,37.81,0
10000060,2020-01-01,09:03:00,Import,BE,PORT_20,UG,851712,IMP696,EXP871,206454.92,1752.6,1751.288454727188,LINE_MODE_10,37.91,0
10000061,2020-01-01,09:07:07,Import,BE,PORT_20,UG,851712,IMP105,EXP588,319894.35,4967.28,4966.966459155967,LINE_MODE_10,70.17,0
10000062,2020-01-01,12:44:59,Import,BE,PORT_30,UG,440890,IMP956,EXP307,3.991532273031884,5212.71,5212.71,LINE_MODE_10,43.68,1
10000063,2020-01-01,11:35:30,Import,BE,PORT_30,UG,440890,IMP333,EXP397,82485.48,4141.29,4139.838950157336,LINE_MODE_40,79.83,0
10000064,2020-01-01,08:12:23,Import,BE,PORT_30,UG,690722,IMP393,EXP628,118248.62,6574.22,6573.834366044454,LINE_MODE_40,47.78,0
10000065,2020-01-01,19:56:02,Import,BE,PORT_30,UG,690722,IMP883,EXP180,341557.69,646.56,644.06152874175,LINE_MODE_40,46.14,0
10000066,2020-01-01,16:40:20,Import,BE,PORT_20,UG,690722,IMP128,EXP527,20620.06,989.75,990.3398946120105,LINE_MODE_40,31.42,0
10000067,2020-01-01,20:35:08,Import,BE,PORT_20,UG,690722,IMP626,EXP501,36048.9,686.97,690.1208364888158,LINE_MODE_10,48.72,0
10000068,2020-01-01,07:39:54,Import,BE,PORT_40,UG,440890,IMP210,EXP992,314740.23,1695.68,1694.100027852196,LINE_MODE_10,54.49,0
10000069,2020-01-01,07:39:35,Import,BE,PORT_20,UG,071080,IMP660,EXP635,498548.28,2406.5,2403.5582361668044,LINE_MODE_10,41.99,0
10000070,2020-01-01,19:38:10,Import,BE,PORT_20,UG,851712,IMP949,EXP322,2.2621244160200673,7046.25,7046.25,LINE_MODE_40,38.23,1
10000071,2020-01-01,09:16:27,Import,BE,PORT_40,UG,851712,IMP602,EXP757,276631.64,7942.31,7945.950625034087,LINE_MODE_40,38.91,0
10000072,2020-01-01,08:17:25,Import,BE,PORT_20,UG,690722,IMP993,EXP448,404013.28,1687.82,3822.3113465595375,LINE_MODE_40,62.57,1
10000073,2020-01-01,17:36:12,Import,BE,PORT_40,UG,071080,IMP818,EXP324,318627.83,2148.64,2147.334171937803,LINE_MODE_40,23.85,0
10000074,2020-01-01,21:55:20,Import,BE,PORT_30,UG,851712,IMP371,EXP711,354575.87,3796.48,3799.2155127035944,LINE_MODE_40,65.19,0
10000075,2020-01-01,09:38:45,Import,BE,PORT_40,UG,071080,IMP825,EXP113,223659.68,2838.07,2841.7383132311998,LINE_MODE_10,74.63,0
10000076,2020-01-01,13:32:44,Import,BE,PORT_30,UG,620822,IMP191,EXP996,124273.66,941.45,939.14688294874,LINE_MODE_10,34.33,0
10000077,2020-01-01,07:23:16,Import,BE,PORT_40,UG,690722,IMP365,EXP864,292323.06,5082.08,5083.107281829963,LINE_MODE_40,35.71,0
10000078,2020-01-01,07:52:51,Import,BE,PORT_40,UG,690722,IMP808,EXP545,123210.37,7529.71,33021.62023582677,LINE_MODE_10,37.73,1
10000079,2020-01-01,00:54:07,Import,BE,PORT_30,UG,940350,IMP927,EXP360,417129.61,8806.34,8808.142986812463,LINE_MODE_40,56.04,0
10000080,2020-01-01,13:52:12,Import,BE,PORT_30,UG,851712,IMP458,EXP124,74333.83,4876.86,4880.8686472359195,LINE_MODE_10,67.05,0
10000081,2020-01-01,05:38:28,Import,BE,PORT_40,UG,940350,IMP612,EXP749,372095.52,7339.56,7344.298186163566,LINE_MODE_40,71.31,0
10000082,2020-01-01,08:19:10,Import,BE,PORT_20,UG,440890,IMP587,EXP342,293766.23,1823.85,1825.1269195475763,LINE_MODE_40,53.36,0
10000083,2020-01-01,07:57:33,Import,BE,PORT_20,UG,620822,IMP223,EXP173,130646.55,9833.84,9829.926697920706,LINE_MODE_40,26.46,0
10000084,2020-01-01,20:28:39,Import,BE,PORT_40,UG,851712,IMP205,EXP998,7140174073.278232,3005.42,3005.42,LINE_MODE_40,66.79,1
10000085,2020-01-01,22:31:07,Import,BE,PORT_20,UG,940350,IMP990,EXP838,36498.23,8706.68,8711.11843916281,LINE_MODE_10,30.69,0
10000086,2020-01-01,01:13:06,Import,BE,PORT_30,UG,071080,IMP313,EXP402,468615.24,9916.31,9911.985640047493,LINE_MODE_10,61.55,0
10000087,2020-01-01,15:23:06,Import,BE,PORT_20,UG,690722,IMP354,EXP413,307587.52,7012.35,7014.402893441017,LINE_MODE_40,15.7,0
10000088,2020-01-01,07:03:35,Import,BE,PORT_40,UG,620822,IMP353,EXP544,54381.09,8276.31,8273.036128057649,LINE_MODE_10,49.09,0
10000089,2020-01-01,11:30:18,Import,BE,PORT_30,UG,620822,IMP703,EXP515,321919.99,316.1,311.46482333899326,LINE_MODE_10,32.05,0
10000090,2020-01-01,03:47:53,Import,BE,PORT_30,UG,690722,IMP108,EXP935,385183.54,4733.65,4734.462946469676,LINE_MODE_10,57.93,0
10000091,2020-01-01,12:14:08,Import,BE,PORT_40,UG,940350,IMP562,EXP812,100376.0,9869.23,9867.349999857684,LINE_MODE_40,12.04,0
10000092,2020-01-01,19:15:50,Import,BE,PORT_30,UG,690722,IMP207,EXP294,141716.68,2955.83,2955.8419777841964,LINE_MODE_10,72.11,0
10000093,2020-01-01,20:38:57,Import,BE,PORT_40,UG,940350,IMP915,EXP295,252466.61,2824.38,2827.7577525615807,LINE_MODE_40,79.71,0
10000094,2020-01-01,08:12:36,Import,BE,PORT_30,UG,071080,IMP821,EXP575,321611.67,6346.87,6342.11954585737,LINE_MODE_10,10.21,0
10000095,2020-01-01,13:15:18,Import,BE,PORT_40,UG,440890,IMP379,EXP900,106048.88,2379.0,2383.2241021239115,LINE_MODE_10,53.35,0
10000096,2020-01-01,16:54:01,Import,BE,PORT_40,UG,690722,IMP370,EXP475,-9626.80483394906,1229.37,1229.37,LINE_MODE_40,56.2,1
10000097,2020-01-01,22:10:45,Import,BE,PORT_20,UG,851712,IMP319,EXP871,-9743.335405122643,8373.86,8373.86,LINE_MODE_10,17.99,1
10000098,2020-01-01,23:38:23,Import,BE,PORT_30,UG,440890,IMP699,EXP703,334658.6,6761.31,6764.866016763433,LINE_MODE_10,19.07,0
10000099,2020-01-01,11:32:34,Import,BE,PORT_20,UG,440890,IMP181,EXP660,67891.99,9341.28,9339.768100104844,LINE_MODE_40,24.93,0
10000100,2020-01-01,06:52:36,Import,BE,PORT_30,UG,071080,IMP400,EXP357,434249.16,636.88,640.4800058858264,LINE_MODE_10,10.13,0
10000101,2020-01-01,20:51:05,Import,BE,PORT_40,UG,940350,IMP553,EXP247,454465.57,2211.15,2209.987573787159,LINE_MODE_40,49.72,0
10000102,2020-01-01,09:31:55,Import,BE,PORT_30,UG,851712,IMP275,EXP569,382604.68,6092.09,6096.1683883690375,LINE_MODE_40,19.96,0
10000103,2020-01-01,10:26:16,Import,BE,PORT_20,UG,620822,IMP563,EXP606,381331.97,1393.89,1392.9904314589369,LINE_MODE_10,69.64,0
10000104,2020-01-01,11:55:25,Import,BE,PORT_40,UG,851712,IMP668,EXP811,266022.23,3543.21,3540.7133353254117,LINE_MODE_10,53.56,0
10000105,2020-01-01,13:28:48,Import,BE,PORT_40,UG,620822,IMP600,EXP425,491654.07,5955.28,5956.762140118382,LINE_MODE_40,22.24,0
10000106,2020-01-01,14:10:01,Import,BE,PORT_30,UG,071080,IMP933,EXP481,385937.2,879.17,880.9926209723512,LINE_MODE_40,68.58,0
10000107,2020-01-01,02:21:08,Import,BE,PORT_30,UG,851712,IMP412,EXP867,99208.22,8383.02,8385.006014607092,LINE_MODE_10,36.97,0
10000108,2020-01-01,14:01:14,Import,BE,PORT_20,UG,851712,IMP862,EXP104,197514.39,5063.45,5059.902173781712,LINE_MODE_40,49.29,0
10000109,2020-01-01,12:44:54,Import,BE,PORT_30,UG,071080,IMP235,EXP592,361378.8,180.93,178.33147711820834,LINE_MODE_10,48.45,0
10000110,2020-01-01,15:32:04,Import,BE,PORT_40,UG,690722,IMP935,EXP397,445176.88,3681.9,3683.3427359833163,LINE_MODE_10,65.64,0
10000111,2020-01-01,19:56:07,Import,BE,PORT_30,UG,071080,IMP433,EXP258,115466.03,6450.5,6453.448615881358,LINE_MODE_40,38.43,0
10000112,2020-01-01,21:00:27,Import,BE,PORT_20,UG,620822,IMP352,EXP922,138784.67,7602.12,7598.816468379005,LINE_MODE_10,10.67,0
10000113,2020-01-01,02:23:29,Import,BE,PORT_20,UG,440890,IMP897,EXP755,148624.95,4308.59,18942.803957655695,LINE_MODE_40,74.93,1
10000114,2020-01-01,19:21:59,Import,BE,PORT_20,UG,620822,IMP159,EXP387,385959.6,771.45,772.9455015051894,LINE_MODE_40,62.16,0
10000115,2020-01-01,16:38:29,Import,BE,PORT_20,UG,940350,IMP998,EXP843,372646.2,3515.81,3520.745213720357,LINE_MODE_10,62.99,0
10000116,2020-01-01,02:29:53,Import,BE,PORT_30,UG,851712,IMP724,EXP448,243689.5,4488.16,4484.675563457802,LINE_MODE_40,77.59,0
10000117,2020-01-01,06:37:22,Import,BE,PORT_30,UG,440890,IMP431,EXP919,434189.15,130.89,130.29008828152138,LINE_MODE_40,16.1,0
10000118,2020-01-01,09:35:11,Import,BE,PORT_40,UG,690722,IMP788,EXP365,481003.18,1593.27,1589.5589853917502,LINE_MODE_40,40.23,0
10000119,2020-01-01,11:10:25,Import,BE,PORT_40,UG,851712,IMP286,EXP574,265264.03,3141.19,3143.5864683416967,LINE_MODE_40,76.37,0
10000120,2020-01-01,16:05:48,Import,BE,PORT_40,UG,440890,IMP282,EXP356,349505.17,4563.13,4564.045183328633,LINE_MODE_10,71.43,0
10000121,2020-01-01,00:52:02,Import,BE,PORT_40,UG,620822,IMP654,EXP407,297909.4,5315.03,5315.657909719552,LINE_MODE_10,31.78,0
10000122,2020-01-01,20:58:17,Import,BE,PORT_30,UG,620822,IMP209,EXP454,358365.75,5276.96,5277.530475918185,LINE_MODE_10,18.53,0
10000123,2020-01-01,06:53:44,Import,BE,PORT_40,UG,071080,IMP855,EXP331,117672.4,8346.04,8344.347377984293,LINE_MODE_10,78.97,0
10000124,2020-01-01,19:43:48,Import,BE,PORT_20,UG,440890,IMP731,EXP409,139017.51,2839.69,2838.9594170076098,LINE_MODE_40,66.33,0
10000125,2020-01-01,01:44:42,Import,BE,PORT_30,UG,440890,IMP737,EXP593,451766.03,8256.79,8254.085958332675,LINE_MODE_10,77.13,0
10000126,2020-01-01,17:51:21,Import,BE,PORT_40,UG,071080,IMP292,EXP849,108318.88,4023.32,4024.2643927227273,LINE_MODE_10,67.58,0
10000127,2020-01-01,17:33:18,Import,BE,PORT_40,UG,071080,IMP241,EXP378,351355.96,157.38,157.27015973076033,LINE_MODE_10,44.13,0
10000128,2020-01-01,23:21:12,Import,BE,PORT_20,UG,690722,IMP648,EXP918,178627.88,9405.68,23993.9237245485,LINE_MODE_40,17.77,1
10000129,2020-01-01,11:18:26,Import,BE,PORT_40,UG,620822,IMP306,EXP975,178443.6,8772.14,8776.537598928622,LINE_MODE_10,34.54,0
10000130,2020-01-01,22:14:07,Import,BE,PORT_40,UG,620822,IMP552,EXP557,105492.1,6323.16,6325.507905346336,LINE_MODE_40,35.24,0
10000131,2020-01-01,03:08:44,Import,BE,PORT_40,UG,620822,IMP531,EXP338,161898.73,5515.97,5518.920967635396,LINE_MODE_40,19.05,0
10000132,2020-01-01,00:41:15,Import,BE,PORT_40,UG,440890,IMP942,EXP552,375001.67,961.01,964.0159103080539,LINE_MODE_10,36.56,0
10000133,2020-01-01,07:57:54,Import,BE,PORT_30,UG,071080,IMP543,EXP130,132064.52,9717.28,9712.361814518536,LINE_MODE_40,38.02,0
10000134,2020-01-01,00:51:08,Import,BE,PORT_20,UG,620822,IMP826,EXP534,399753.94,5457.69,5455.26701523039,LINE_MODE_40,47.54,0
10000135,2020-01-01,09:48:36,Import,BE,PORT_40,UG,851712,IMP373,EXP838,393311.31,6759.35,19156.65993466169,LINE_MODE_40,16.66,1
10000136,2020-01-01,13:18:31,Import,BE,PORT_30,UG,940350,IMP123,EXP333,337033.33,6412.18,6407.828397944287,LINE_MODE_40,59.29,0
10000137,2020-01-01,20:53:15,Import,BE,PORT_40,UG,940350,IMP316,EXP296,66185.96,5900.48,5899.0864101281795,LINE_MODE_10,51.09,0
10000138,2020-01-01,08:32:47,Import,BE,PORT_20,UG,071080,IMP255,EXP674,285337.78,7869.54,7871.524226165547,LINE_MODE_10,66.27,0
10000139,2020-01-01,11:46:08,Import,BE,PORT_20,UG,620822,IMP784,EXP214,67190.1,4079.14,4074.182049666244,LINE_MODE_10,56.66,0
10000140,2020-01-01,08:25:46,Import,BE,PORT_20,UG,851712,IMP956,EXP769,358455.21,8831.31,8826.732999390053,LINE_MODE_10,36.93,0
10000141,2020-01-01,01:43:08,Import,BE,PORT_30,UG,690722,IMP106,EXP852,8369069829.745033,9281.59,9281.59,LINE_MODE_40,51.54,1
10000142,2020-01-01,02:34:03,Import,BE,PORT_30,UG,071080,IMP165,EXP673,128317.74,8671.75,8668.598102419613,LINE_MODE_10,12.7,0
10000143,2020-01-01,13:05:41,Import,BE,PORT_30,UG,440890,IMP410,EXP859,458486.03,7691.6,7690.373853169607,LINE_MODE_40,20.76,0
10000144,2020-01-01,20:54:02,Import,BE,PORT_30,UG,440890,IMP639,EXP130,368250.52,8357.31,8361.424421544298,LINE_MODE_10,18.09,0
10000145,2020-01-01,13:17:41,Import,BE,PORT_40,UG,071080,IMP617,EXP496,39440.44,2839.27,2841.244462401603,LINE_MODE_40,69.55,0
10000146,2020-01-01,22:59:24,Import,BE,PORT_20,UG,620822,IMP953,EXP798,22497.58,5109.05,5105.50223657229,LINE_MODE_10,74.16,0
10000147,2020-01-01,06:09:07,Import,BE,PORT_40,UG,690722,IMP755,EXP649,370563.81,7249.04,7249.04,LINE_MODE_40,795.0428620280046,1
10000148,2020-01-01,02:27:04,Import,BE,PORT_40,UG,940350,IMP538,EXP431,211611.45,8034.35,8033.796868113368,LINE_MODE_10,79.91,0
10000149,2020-01-01,00:49:42,Import,BE,PORT_20,UG,690722,IMP917,EXP482,194814.44,7303.12,17071.59806992843,LINE_MODE_40,10.53,1
10000150,2020-01-01,20:53:47,Import,BE,PORT_20,UG,440890,IMP605,EXP883,267217.62,854.3,858.6193154404275,LINE_MODE_40,50.06,0
10000151,2020-01-01,14:38:44,Import,BE,PORT_20,UG,620822,IMP939,EXP652,413255.6,4564.56,4562.570658469007,LINE_MODE_10,53.63,0
10000152,2020-01-01,23:45:48,Import,BE,PORT_40,UG,071080,IMP734,EXP850,77824.33,9746.39,9749.062486830413,LINE_MODE_10,56.82,0
10000153,2020-01-01,15:52:40,Import,BE,PORT_40,UG,620822,IMP290,EXP226,2.451948302431897,5670.5,5670.5,LINE_MODE_40,31.92,1
10000154,2020-01-01,03:49:40,Import,BE,PORT_20,UG,851712,IMP863,EXP476,313803.19,2904.36,2908.6979772027557,LINE_MODE_40,64.81,0
10000155,2020-01-01,13:33:08,Import,BE,PORT_30,UG,940350,IMP484,EXP994,1.1190532634295758,3600.79,3600.79,LINE_MODE_10,21.39,1
10000156,2020-01-01,17:07:36,Import,BE,PORT_30,UG,440890,IMP694,EXP602,33772.45,4817.18,4817.18,LINE_MODE_10,773.2418548197638,1
10000157,2020-01-01,10:58:38,Import,BE,PORT_20,UG,071080,IMP559,EXP490,222838.5,3575.27,3570.7148907208116,LINE_MODE_10,59.63,0
10000158,2020-01-01,17:24:55,Import,BE,PORT_20,UG,851712,IMP435,EXP255,479454.27,3728.58,3728.8493244800484,LINE_MODE_40,55.62,0
10000159,2020-01-01,15:02:05,Import,BE,PORT_20,UG,690722,IMP917,EXP384,431194.51,9889.89,9889.623372819273,LINE_MODE_40,27.92,0
10000160,2020-01-01,02:07:45,Import,BE,PORT_20,UG,940350,IMP798,EXP174,262774.3,3455.43,3459.642572610266,LINE_MODE_10,55.16,0
10000161,2020-01-01,05:40:03,Import,BE,PORT_40,UG,690722,IMP654,EXP608,332781.77,4398.16,4394.015230694014,LINE_MODE_10,38.64,0
10000162,2020-01-01,07:32:41,Import,BE,PORT_20,UG,620822,IMP365,EXP727,364467.16,3322.84,3326.141510030605,LINE_MODE_40,59.28,0
10000163,2020-01-01,09:08:47,Import,BE,PORT_40,UG,071080,IMP585,EXP583,340821.85,3077.33,3080.504923502542,LINE_MODE_40,25.28,0
10000164,2020-01-01,10:44:55,Import,BE,PORT_20,UG,620822,IMP836,EXP636,361717.46,900.63,897.2428718872031,LINE_MODE_10,25.18,0
10000165,2020-01-01,16:16:18,Import,BE,PORT_30,UG,940350,IMP827,EXP238,158639.99,5744.71,5740.515139113589,LINE_MODE_10,57.61,0
10000166,2020-01-01,17:16:00,Import,BE,PORT_40,UG,440890,IMP823,EXP739,1255898242.9799762,2245.15,2245.15,LINE_MODE_10,14.07,1
10000167,2020-01-01,11:51:07,Import,BE,PORT_40,UG,851712,IMP326,EXP319,362731.83,9480.1,9480.510752944325,LINE_MODE_40,25.13,0
10000168,2020-01-01,19:22:48,Import,BE,PORT_20,UG,620822,IMP626,EXP416,395910.43,2397.55,2399.951499683784,LINE_MODE_10,43.96,0
10000169,2020-01-01,18:18:02,Import,BE,PORT_20,UG,071080,IMP486,EXP229,-3906.5707961154485,756.93,756.93,LINE_MODE_10,56.05,1
10000170,2020-01-01,12:25:09,Import,BE,PORT_20,UG,071080,IMP277,EXP987,136366.89,6725.59,6728.698917184644,LINE_MODE_10,68.7,0
10000171,2020-01-01,17:41:01,Import,BE,PORT_30,UG,620822,IMP245,EXP535,215029.96,2251.74,2254.0249052988793,LINE_MODE_40,31.99,0
10000172,2020-01-01,07:46:30,Import,BE,PORT_20,UG,620822,IMP333,EXP220,128423.1,3437.59,3433.632409038203,LINE_MODE_10,34.14,0
